Last Name,First Name,Email Address,Grade
Hopper,Rubie,HopperR@fakeCollege.ac.uk,12
Mcbride,Mayson,McbrideM@fakeCollege.ac.uk,2
Whittle,Jacqueline,WhittleJ@fakeCollege.ac.uk,8
Huynh,Griff,HuynhG@fakeCollege.ac.uk,1
Tang,Perry,TangP@fakeCollege.ac.uk,0
Coleman,Ariel,ColemanA@fakeCollege.ac.uk,14
Russo,Brenda,RussoB@fakeCollege.ac.uk,5
Gentry,Christine,GentryC@fakeCollege.ac.uk,12
Lucas,Lyla-Rose,LucasL@fakeCollege.ac.uk,0
Bennett,Zakariya,BennettZ@fakeCollege.ac.uk,3
Hart,Hamid,HartH@fakeCollege.ac.uk,2
Richard,Mila,RichardM@fakeCollege.ac.uk,11
Schmitt,Theodore,SchmittT@fakeCollege.ac.uk,11
Carpenter,Eli,CarpenterE@fakeCollege.ac.uk,6
Rivera,Madison,RiveraM@fakeCollege.ac.uk,15
Sweeney,Sahara,SweeneyS@fakeCollege.ac.uk,0
Dickson,Ellenor,DicksonE@fakeCollege.ac.uk,5
Benton,Eloise,BentonE@fakeCollege.ac.uk,1
Chadwick,Sunil,ChadwickS@fakeCollege.ac.uk,10
Hickman,Layla,HickmanL@fakeCollege.ac.uk,1
Merritt,Rebekah,MerrittR@fakeCollege.ac.uk,3
Gomez,Zhane,GomezZ@fakeCollege.ac.uk,1
Curtis,Charly,CurtisC@fakeCollege.ac.uk,7
Marriott,Fletcher,MarriottF@fakeCollege.ac.uk,8
Finley,Amelia-Mae,FinleyA@fakeCollege.ac.uk,13
Bannister,Leroy,BannisterL@fakeCollege.ac.uk,13
Prentice,Stacy,PrenticeS@fakeCollege.ac.uk,15
Strong,Karina,StrongK@fakeCollege.ac.uk,13
Guzman,Garrett,GuzmanG@fakeCollege.ac.uk,10
Ayers,Zac,AyersZ@fakeCollege.ac.uk,3
Hurley,Betsy,HurleyB@fakeCollege.ac.uk,7
Rose,Viaan,RoseV@fakeCollege.ac.uk,8
Wilkins,Kieran,WilkinsK@fakeCollege.ac.uk,11
Rowland,Jayson,RowlandJ@fakeCollege.ac.uk,5
Ferry,Reece,FerryR@fakeCollege.ac.uk,2
Watt,Bessie,WattB@fakeCollege.ac.uk,9
Quintana,Alessia,QuintanaA@fakeCollege.ac.uk,1
Perez,Jean,PerezJ@fakeCollege.ac.uk,15
Franks,Nada,FranksN@fakeCollege.ac.uk,8
Atherton,Aran,AthertonA@fakeCollege.ac.uk,11
Johns,Eman,JohnsE@fakeCollege.ac.uk,12
Santos,Davina,SantosD@fakeCollege.ac.uk,12
Allen,Yuvaan,AllenY@fakeCollege.ac.uk,10
Harvey,Jaime,HarveyJ@fakeCollege.ac.uk,2
Butt,Isabell,ButtI@fakeCollege.ac.uk,1
Ryan,Niyah,RyanN@fakeCollege.ac.uk,13
Brookes,Ainsley,BrookesA@fakeCollege.ac.uk,3
Holloway,Anand,HollowayA@fakeCollege.ac.uk,2
Ortiz,Omer,OrtizO@fakeCollege.ac.uk,0
Preece,Jada,PreeceJ@fakeCollege.ac.uk,3
Riggs,Olivia,RiggsO@fakeCollege.ac.uk,15
Hamer,Belinda,HamerB@fakeCollege.ac.uk,15
Barclay,Cem,BarclayC@fakeCollege.ac.uk,8
Lennon,Jeanette,LennonJ@fakeCollege.ac.uk,13
Hull,Saffa,HullS@fakeCollege.ac.uk,3
Odonnell,Tamera,OdonnellT@fakeCollege.ac.uk,5
Kent,Nadeem,KentN@fakeCollege.ac.uk,7
Lancaster,Irving,LancasterI@fakeCollege.ac.uk,5
Burch,Liya,BurchL@fakeCollege.ac.uk,9
Delgado,Caris,DelgadoC@fakeCollege.ac.uk,6
Stanton,Judy,StantonJ@fakeCollege.ac.uk,4
Solomon,Vivien,SolomonV@fakeCollege.ac.uk,15
Mcnally,Kit,McnallyK@fakeCollege.ac.uk,9
Muir,Nuala,MuirN@fakeCollege.ac.uk,9
Stanley,Heather,StanleyH@fakeCollege.ac.uk,5
Oliver,Benny,OliverB@fakeCollege.ac.uk,0
Adam,Rae,AdamR@fakeCollege.ac.uk,1
Blankenship,Harper-Rose,BlankenshipH@fakeCollege.ac.uk,3
Spooner,Conal,SpoonerC@fakeCollege.ac.uk,5
Rios,Oisin,RiosO@fakeCollege.ac.uk,8
Rodrigues,Alessandro,RodriguesA@fakeCollege.ac.uk,10
Harris,Patience,HarrisP@fakeCollege.ac.uk,5
Price,Donna,PriceD@fakeCollege.ac.uk,13
Griffiths,Margo,GriffithsM@fakeCollege.ac.uk,10
Mckee,Lisa,MckeeL@fakeCollege.ac.uk,6
Mcintyre,Hubert,McintyreH@fakeCollege.ac.uk,2
Meyer,Frederic,MeyerF@fakeCollege.ac.uk,11
Gardiner,Andrew,GardinerA@fakeCollege.ac.uk,12
Shah,Arman,ShahA@fakeCollege.ac.uk,13
Kirkland,Cecelia,KirklandC@fakeCollege.ac.uk,4
Tyson,Mali,TysonM@fakeCollege.ac.uk,7
Collier,Madihah,CollierM@fakeCollege.ac.uk,6
Pena,Toyah,PenaT@fakeCollege.ac.uk,4
Rutledge,Nabilah,RutledgeN@fakeCollege.ac.uk,10
Salter,Rocco,SalterR@fakeCollege.ac.uk,3
Bird,Pierre,BirdP@fakeCollege.ac.uk,9
Lester,Gianni,LesterG@fakeCollege.ac.uk,5
Salas,Layla-Rose,SalasL@fakeCollege.ac.uk,9
Devine,Rhona,DevineR@fakeCollege.ac.uk,5
Felix,Sanya,FelixS@fakeCollege.ac.uk,3
Iles,Campbell,IlesC@fakeCollege.ac.uk,9
Ramirez,Mara,RamirezM@fakeCollege.ac.uk,15
Stout,Lily-Grace,StoutL@fakeCollege.ac.uk,8
Hardy,Etienne,HardyE@fakeCollege.ac.uk,10
Corrigan,Antonina,CorriganA@fakeCollege.ac.uk,9
Espinoza,Opal,EspinozaO@fakeCollege.ac.uk,7
Andrade,Brandi,AndradeB@fakeCollege.ac.uk,6
Lowery,Theodor,LoweryT@fakeCollege.ac.uk,4
Beck,Adem,BeckA@fakeCollege.ac.uk,0
Donnelly,Franklin,DonnellyF@fakeCollege.ac.uk,11
Leach,Seamus,LeachS@fakeCollege.ac.uk,4
Browning,Shanai,BrowningS@fakeCollege.ac.uk,3
Rollins,Shana,RollinsS@fakeCollege.ac.uk,1
Haworth,Kaydon,HaworthK@fakeCollege.ac.uk,1
Cantrell,Paolo,CantrellP@fakeCollege.ac.uk,1
