,StudentID_x,Email Address,Group,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
54,4kuf0m1gxk,hackettk@fakecollege.ac.uk,B,Keaton,Hackett,10,80,97,100,33,100,53,75,1,15,13,1,10,0.33,0.7066666666666667,0.5944444444444444,0.5475,0.5944444444444444,0.5797101449275363,0.5520753756047874,0.5797101449275363,0.49885748792270534,50.0,C
32,nnunqy1y83,harmond@fakecollege.ac.uk,B,Darcy,Harmon,29,80,73,100,86,100,15,75,3,13,2,0,14,0.86,0.2,0.5666666666666667,0.54625,0.5666666666666667,0.463768115942029,0.4847415329768271,0.4847415329768271,0.43508912655971477,44.0,D
31,5frg4adabc,henryk@fakecollege.ac.uk,B,Katie,Henry,0,80,88,100,70,100,5,75,15,12,5,15,14,0.7,0.06666666666666667,0.4888888888888889,0.44,0.4888888888888889,0.8840579710144928,0.9391698497580852,0.9391698497580852,0.5189731771496477,52.0,C
51,fufwkveg57,kellyj@fakecollege.ac.uk,B,Jon-Paul,Kelly,42,80,39,100,9,100,40,75,4,12,14,9,10,0.09,0.5333333333333333,0.45,0.4575,0.4575,0.7101449275362319,0.6926712503183092,0.7101449275362319,0.4538768115942029,46.0,D
59,qokq1alpzi,knightsh@fakecollege.ac.uk,B,Hadley,Knights,24,80,79,100,69,100,71,75,10,3,11,4,10,0.69,0.9466666666666667,0.5722222222222222,0.545,0.5722222222222222,0.5507246376811594,0.575039470333588,0.575039470333588,0.530567396655632,54.0,C
34,aj7whfd7jy,lambk@fakecollege.ac.uk,B,Konnor,Lamb,74,80,34,100,89,100,3,75,2,13,15,13,13,0.89,0.04,0.6,0.6325000000000001,0.6325000000000001,0.8115942028985508,0.7885485103132162,0.8115942028985508,0.5449782608695652,55.0,C
52,qgyqtmjhub,mckinneym@fakecollege.ac.uk,B,Mario,Mckinney,10,80,61,100,30,100,71,75,14,0,8,2,11,0.3,0.9466666666666667,0.39444444444444443,0.3675,0.39444444444444443,0.5072463768115942,0.5605678635090399,0.5605678635090399,0.4356148034971564,44.0,D
57,zx4lrvsyf8,montesk@fakecollege.ac.uk,B,Kie,Montes,56,80,44,100,9,100,74,75,9,8,3,9,1,0.09,0.9866666666666667,0.5555555555555556,0.57,0.57,0.43478260869565216,0.45083524318818446,0.45083524318818446,0.466417239623122,47.0,D
35,sovmcj1hwm,montoyae@fakecollege.ac.uk,B,Elli,Montoya,8,80,45,100,100,100,21,75,4,10,15,6,4,1.0,0.28,0.29444444444444445,0.275,0.29444444444444445,0.5652173913043478,0.5349121466768525,0.5652173913043478,0.36534299516908214,37.0,F
40,qa10kksgqq,nealel@fakecollege.ac.uk,B,Lindsay,Neale,70,80,83,100,82,100,37,75,9,8,0,14,2,0.82,0.49333333333333335,0.85,0.8525,0.8525,0.4782608695652174,0.5036363636363637,0.5036363636363637,0.5824242424242425,59.0,C
43,zuczczczvj,o'quinnc@fakecollege.ac.uk,B,Cassandra,O'Quinn,31,80,84,100,40,100,52,75,7,1,10,11,2,0.4,0.6933333333333334,0.6388888888888888,0.61375,0.6388888888888888,0.4492753623188406,0.44872930990578047,0.4492753623188406,0.4796714975845411,48.0,D
48,mykmgzybly,peraltaj@fakecollege.ac.uk,B,Jadon,Peralta,50,80,44,100,50,100,62,75,11,0,5,9,2,0.5,0.8266666666666667,0.5222222222222223,0.5325,0.5325,0.391304347826087,0.4207282913165266,0.4207282913165266,0.44688515406162466,45.0,D
50,gginpqcemn,powellj@fakecollege.ac.uk,B,Jordi,Powell,23,80,32,100,34,100,39,75,7,2,0,6,10,0.34,0.52,0.3055555555555556,0.30374999999999996,0.3055555555555556,0.36231884057971014,0.4063203463203463,0.4063203463203463,0.31311832611832613,32.0,F
60,rmhjupxy7j,renniee@fakecollege.ac.uk,B,Ezekiel,Rennie,60,80,39,100,48,100,71,75,11,10,12,12,7,0.48,0.9466666666666667,0.55,0.5700000000000001,0.5700000000000001,0.7536231884057971,0.7626050420168068,0.7626050420168068,0.5754481792717088,58.0,C
55,3jhitc9lnc,singhf@fakecollege.ac.uk,B,Fox,Singh,71,80,64,100,35,100,28,75,15,10,3,7,3,0.35,0.37333333333333335,0.75,0.7637499999999999,0.7637499999999999,0.5507246376811594,0.5913547237076648,0.5913547237076648,0.5377397504456327,54.0,C
61,h9ovpwq4rp,stonei@fakecollege.ac.uk,B,Isabell,Stone,21,80,42,100,98,100,41,75,1,12,3,8,1,0.98,0.5466666666666666,0.35,0.34125,0.35,0.36231884057971014,0.34442831678125796,0.36231884057971014,0.35236231884057967,36.0,F
56,jgk6iyqrk5,stubbsc@fakecollege.ac.uk,B,Codie,Stubbs,75,80,76,100,20,100,68,75,13,8,14,11,8,0.2,0.9066666666666666,0.8388888888888889,0.84875,0.84875,0.782608695652174,0.7982123758594347,0.7982123758594347,0.6796303794244971,68.0,B
36,o7qjr34shw,swanh@fakecollege.ac.uk,B,Harrison,Swan,60,80,67,100,75,100,29,75,4,7,5,9,7,0.75,0.38666666666666666,0.7055555555555556,0.71,0.71,0.463768115942029,0.47012223071046605,0.47012223071046605,0.5012033358798065,51.0,C
62,p7r68t4o44,tapiaj@fakecollege.ac.uk,B,Jodie,Tapia,43,80,22,100,91,100,44,75,4,2,13,15,11,0.91,0.5866666666666667,0.3611111111111111,0.37875,0.37875,0.6521739130434783,0.6499541634835752,0.6521739130434783,0.45131884057971017,46.0,D
37,nxjrrqqwyg,thomasj@fakecollege.ac.uk,B,Jagoda,Thomas,24,80,8,100,82,100,14,75,9,11,15,1,8,0.82,0.18666666666666668,0.17777777777777778,0.19,0.19,0.6376811594202898,0.634392666157372,0.6376811594202898,0.3269710144927536,33.0,F
53,p7rb3cijmk,wagnerr@fakecollege.ac.uk,B,River,Wagner,76,80,15,100,5,100,42,75,2,1,10,3,4,0.05,0.56,0.5055555555555555,0.5499999999999999,0.5499999999999999,0.2898550724637681,0.2768678380443086,0.2898550724637681,0.3654565217391304,37.0,F
42,ef68y7vh39,welshc@fakecollege.ac.uk,B,Ciaron,Welsh,24,80,58,100,42,100,49,75,13,3,0,8,14,0.42,0.6533333333333333,0.45555555555555555,0.43999999999999995,0.45555555555555555,0.5507246376811594,0.623982683982684,0.623982683982684,0.45575036075036074,46.0,D
39,meybqg00sn,whelans@fakecollege.ac.uk,B,Shamas,Whelan,9,80,94,100,52,100,25,75,14,7,0,0,14,0.52,0.3333333333333333,0.5722222222222222,0.52625,0.5722222222222222,0.5072463768115942,0.5812121212121213,0.5812121212121213,0.46258585858585866,47.0,D
