,StudentID_x,Email Address,Group,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
20,59ewbslbgn,macdonalde@fakecollege.ac.uk,A,Ellesha,Macdonald,20,80,35,100,38,100,72,75,11,5,7,12,7,0.38,0.96,0.3055555555555556,0.3,0.3055555555555556,0.6086956521739131,0.6371148459383754,0.6371148459383754,0.42835667600373484,43.0,D
5,ic2rapd5jv,mathism@fakecollege.ac.uk,A,Montel,Mathis,24,80,26,100,53,100,36,75,5,11,2,4,4,0.53,0.48,0.2777777777777778,0.28,0.28,0.37681159420289856,0.3849146931499873,0.3849146931499873,0.3019744079449962,31.0,F
29,1bn0qassuc,maym@fakecollege.ac.uk,A,Makenzie,May,39,80,73,100,57,100,52,75,1,11,6,1,2,0.57,0.6933333333333334,0.6222222222222222,0.60875,0.6222222222222222,0.30434782608695654,0.28305576776165015,0.30434782608695654,0.43802657004830925,44.0,D
6,h6gzgtsmqx,moodyj@fakecollege.ac.uk,A,Jordan,Moody,19,80,93,100,25,100,40,75,9,13,13,1,5,0.25,0.5333333333333333,0.6222222222222222,0.58375,0.6222222222222222,0.5942028985507246,0.5875299210593329,0.5942028985507246,0.4929830917874396,50.0,C
23,o9agqhzxlt,nielsenl@fakecollege.ac.uk,A,Lee,Nielsen,56,80,94,100,30,100,12,75,11,14,10,14,0,0.3,0.16,0.8333333333333334,0.82,0.8333333333333334,0.7101449275362319,0.7043137254901961,0.7101449275362319,0.577376811594203,58.0,C
7,igbysbbp67,parksd@fakecollege.ac.uk,A,Derren,Parks,10,80,34,100,88,100,37,75,6,0,11,7,1,0.88,0.49333333333333335,0.24444444444444444,0.2325,0.24444444444444444,0.36231884057971014,0.35516934046345805,0.36231884057971014,0.2998067632850242,30.0,F
17,4yrql7l8fu,partridgec@fakecollege.ac.uk,A,Connor,Partridge,32,80,82,100,48,100,62,75,1,15,15,3,11,0.48,0.8266666666666667,0.6333333333333333,0.61,0.6333333333333333,0.6521739130434783,0.6208428826075885,0.6521739130434783,0.5556521739130436,56.0,C
21,ji6yak6bj6,paynea@fakecollege.ac.uk,A,Annie,Payne,4,80,50,100,69,100,51,75,15,12,6,6,6,0.69,0.68,0.3,0.275,0.3,0.6521739130434783,0.6890297937356761,0.6890297937356761,0.4292089381207028,43.0,D
10,djbnkwyouo,rojasm@fakecollege.ac.uk,A,Maureen,Rojas,25,80,78,100,47,100,46,75,0,6,13,3,2,0.47,0.6133333333333333,0.5722222222222222,0.54625,0.5722222222222222,0.34782608695652173,0.3091316526610644,0.34782608695652173,0.4180700483091787,42.0,D
15,fwbygrtp5s,smythi@fakecollege.ac.uk,A,Ian,Smyth,40,80,99,100,36,100,55,75,0,10,15,5,2,0.36,0.7333333333333333,0.7722222222222223,0.745,0.7722222222222223,0.463768115942029,0.4145658263305322,0.463768115942029,0.539352657004831,54.0,C
30,hakiwlz3yf,sotom@fakecollege.ac.uk,A,Miah,Soto,25,80,49,100,96,100,2,75,11,13,9,9,10,0.96,0.02666666666666667,0.4111111111111111,0.40125,0.4111111111111111,0.7536231884057971,0.774453781512605,0.774453781512605,0.4474472455648926,45.0,D
22,7pilzkl2ag,townsenda@fakecollege.ac.uk,A,Abdur-Rahman,Townsend,79,80,82,100,60,100,51,75,7,1,7,6,4,0.6,0.68,0.8944444444444445,0.90375,0.90375,0.36231884057971014,0.37533995416348354,0.37533995416348354,0.5721019862490451,58.0,C
14,zkzih8pccn,watersa@fakecollege.ac.uk,A,Adem,Waters,30,80,4,100,28,100,21,75,10,5,7,0,10,0.28,0.28,0.18888888888888888,0.2075,0.2075,0.463768115942029,0.4975044563279858,0.4975044563279858,0.27425133689839576,28.0,F
12,ndwmuxzhk0,webberm@fakecollege.ac.uk,A,Michelle,Webber,69,80,18,100,93,100,52,75,14,9,15,14,10,0.93,0.6933333333333334,0.48333333333333334,0.52125,0.52125,0.8985507246376812,0.9176827094474153,0.9176827094474153,0.599638146167558,60.0,B
13,ngwdodnq0o,wolfk@fakecollege.ac.uk,A,Kade,Wolf,14,80,53,100,96,100,7,75,14,13,1,0,11,0.96,0.09333333333333334,0.37222222222222223,0.35250000000000004,0.37222222222222223,0.5652173913043478,0.6229768270944741,0.6229768270944741,0.3931152703505645,40.0,D
